Round,Alive,Dead,CH_Count,Generated,Delivered,Lost,Unclustered,Was_Setup_Round,Control_TX,Control_RX,Data_TX,Data_RX,Energy_Used_J,Residual_Energy_J,Avg_Cluster_Size,Avg_Delay_ms,PDR,Round_Duration_s,Throughput_kbps,Backup_Promotions,Backup_Rejected
120,100,0,6,100,100,0,0,0,0,0,100,100,0.0228610143,47.1935628468,16.6666666667,15.5202157733,1.0000000000,0.8000000000,250.0000000000,0,0
121,100,0,6,100,100,0,0,1,106,782,100,100,0.0314898863,47.1620729605,16.6666666667,15.5201860452,1.0000000000,0.8848000000,226.0397830018,0,0
122,100,0,6,100,100,0,0,0,0,0,100,100,0.0218421757,47.1402307848,16.6666666667,15.5201860452,1.0000000000,0.8000000000,250.0000000000,0,0
123,100,0,6,100,100,0,0,0,0,0,100,100,0.0218421757,47.1183886091,16.6666666667,15.5201860452,1.0000000000,0.8000000000,250.0000000000,0,0
124,100,0,6,100,100,0,0,0,0,0,100,100,0.0218421757,47.0965464333,16.6666666667,15.5201860452,1.0000000000,0.8000000000,250.0000000000,0,0
125,100,0,6,100,100,0,0,0,0,0,100,100,0.0218421757,47.0747042576,16.6666666667,15.5201860452,1.0000000000,0.8000000000,250.0000000000,0,0
126,100,0,6,100,100,0,0,1,106,782,100,100,0.0315369372,47.0431673204,16.6666666667,15.5201811762,1.0000000000,0.8848000000,226.0397830018,0,0
127,100,0,6,100,100,0,0,0,0,0,100,100,0.0218848140,47.0212825064,16.6666666667,15.5201811762,1.0000000000,0.8000000000,250.0000000000,0,0
128,100,0,6,100,100,0,0,0,0,0,100,100,0.0218848140,46.9993976924,16.6666666667,15.5201811762,1.0000000000,0.8000000000,250.0000000000,0,0
129,100,0,6,100,100,0,0,0,0,0,100,100,0.0218848140,46.9775128785,16.6666666667,15.5201811762,1.0000000000,0.8000000000,250.0000000000,0,0
130,100,0,6,100,100,0,0,0,0,0,100,100,0.0218848140,46.9556280645,16.6666666667,15.5201811762,1.0000000000,0.8000000000,250.0000000000,0,0
131,100,0,8,100,100,0,0,1,108,976,100,100,0.0336112038,46.9220168607,12.5000000000,15.3601655167,1.0000000000,0.8864000000,225.6317689531,0,0
132,100,0,8,100,100,0,0,0,0,0,100,100,0.0217845114,46.9002323493,12.5000000000,15.3601655167,1.0000000000,0.8000000000,250.0000000000,0,0
133,100,0,8,100,100,0,0,0,0,0,100,100,0.0217845114,46.8784478378,12.5000000000,15.3601655167,1.0000000000,0.8000000000,250.0000000000,0,0
134,100,0,8,100,100,0,0,0,0,0,100,100,0.0217845114,46.8566633264,12.5000000000,15.3601655167,1.0000000000,0.8000000000,250.0000000000,0,0
135,100,0,8,100,100,0,0,0,0,0,100,100,0.0217845114,46.8348788149,12.5000000000,15.3601655167,1.0000000000,0.8000000000,250.0000000000,0,0
136,100,0,8,100,100,0,0,1,108,976,100,100,0.0328113907,46.8020674243,12.5000000000,15.3601737139,1.0000000000,0.8864000000,225.6317689531,0,0
137,100,0,8,100,100,0,0,0,0,0,100,100,0.0210649218,46.7810025024,12.5000000000,15.3601737139,1.0000000000,0.8000000000,250.0000000000,0,0
138,100,0,8,100,100,0,0,0,0,0,100,100,0.0210649218,46.7599375806,12.5000000000,15.3601737139,1.0000000000,0.8000000000,250.0000000000,0,0
139,100,0,8,100,100,0,0,0,0,0,100,100,0.0210649218,46.7388726588,12.5000000000,15.3601737139,1.0000000000,0.8000000000,250.0000000000,0,0
