Round,Alive,Dead,CH_Count,Generated,Delivered,Lost,Unclustered,Selection_Iterations,Control_TX,Control_RX,Data_TX,Data_RX,Energy_Used_J,Residual_Energy_J,Avg_Cluster_Size,Avg_Delay_ms,PDR,Round_Duration_s,Throughput_kbps
312,100,0,12,100,100,0,0,6,700,8516,100,100,0.1133760219,20.4058305860,8.3333333333,15.0401583666,1.0000000000,1.3600000000,147.0588235294
313,100,0,11,100,100,0,0,6,700,8518,100,100,0.1135992518,20.2922313342,9.0909090909,15.1201698702,1.0000000000,1.3600000000,147.0588235294
314,100,0,11,100,100,0,0,6,700,8518,100,100,0.1136070565,20.1786242776,9.0909090909,15.1201716374,1.0000000000,1.3600000000,147.0588235294
315,100,0,12,100,100,0,0,6,700,8516,100,100,0.1135321268,20.0650921508,8.3333333333,15.0401666585,1.0000000000,1.3600000000,147.0588235294
316,100,0,12,100,100,0,0,6,700,8516,100,100,0.1135212120,19.9515709389,8.3333333333,15.0401702207,1.0000000000,1.3600000000,147.0588235294
317,100,0,12,100,100,0,0,6,700,8516,100,100,0.1135694323,19.8380015066,8.3333333333,15.0401767204,1.0000000000,1.3600000000,147.0588235294
318,100,0,12,100,100,0,0,6,700,8516,100,100,0.1135538607,19.7244476458,8.3333333333,15.0401760046,1.0000000000,1.3600000000,147.0588235294
319,100,0,11,100,100,0,0,6,700,8518,100,100,0.1136187621,19.6108288837,9.0909090909,15.1201703091,1.0000000000,1.3600000000,147.0588235294
320,100,0,12,100,100,0,0,6,700,8516,100,100,0.1135776497,19.4972512340,8.3333333333,15.0401728981,1.0000000000,1.3600000000,147.0588235294
321,100,0,11,100,100,0,0,6,700,8518,100,100,0.1136121312,19.3836391028,9.0909090909,15.1201735820,1.0000000000,1.3600000000,147.0588235294
322,100,0,11,100,100,0,0,6,700,8518,100,100,0.1136301252,19.2700089776,9.0909090909,15.1201711209,1.0000000000,1.3600000000,147.0588235294
323,100,0,11,100,100,0,0,6,700,8518,100,100,0.1136183195,19.1563906581,9.0909090909,15.1201692693,1.0000000000,1.3600000000,147.0588235294
324,100,0,12,100,100,0,0,6,699,8516,100,100,0.1134495455,19.0429411126,8.3333333333,15.0401642365,1.0000000000,1.3592000000,147.1453796351
325,100,0,13,100,100,0,0,6,700,8514,100,100,0.1133728725,18.9295682401,7.6923076923,14.9601671260,1.0000000000,1.3600000000,147.0588235294
326,100,0,11,100,100,0,0,6,700,8518,100,100,0.1135578155,18.8160104246,9.0909090909,15.1201697075,1.0000000000,1.3600000000,147.0588235294
327,100,0,10,100,100,0,0,6,700,8520,100,100,0.1137633081,18.7022471165,10.0000000000,15.2001705063,1.0000000000,1.3600000000,147.0588235294
328,100,0,12,100,100,0,0,6,700,8516,100,100,0.1133925358,18.5888545807,8.3333333333,15.0401610927,1.0000000000,1.3600000000,147.0588235294
329,100,0,11,100,100,0,0,6,700,8518,100,100,0.1135337446,18.4753208361,9.0909090909,15.1201631356,1.0000000000,1.3600000000,147.0588235294
330,100,0,11,100,100,0,0,6,700,8518,100,100,0.1135740367,18.3617467994,9.0909090909,15.1201697393,1.0000000000,1.3600000000,147.0588235294
331,100,0,11,100,100,0,0,6,700,8518,100,100,0.1136626645,18.2480841349,9.0909090909,15.1201712484,1.0000000000,1.3600000000,147.0588235294
332,100,0,12,100,100,0,0,6,700,8516,100,100,0.1135774943,18.1345066407,8.3333333333,15.0401777121,1.0000000000,1.3600000000,147.0588235294
333,100,0,11,100,100,0,0,6,700,8518,100,100,0.1135571078,18.0209495329,9.0909090909,15.1201609385,1.0000000000,1.3600000000,147.0588235294
334,100,0,10,100,100,0,0,6,700,8520,100,100,0.1138066723,17.9071428606,10.0000000000,15.2001825140,1.0000000000,1.3600000000,147.0588235294
335,100,0,12,100,100,0,0,6,700,8516,100,100,0.1134366300,17.7937062306,8.3333333333,15.0401625928,1.0000000000,1.3600000000,147.0588235294
336,100,0,12,100,100,0,0,6,700,8516,100,100,0.1134671562,17.6802390744,8.3333333333,15.0401666197,1.0000000000,1.3600000000,147.0588235294
337,100,0,12,100,100,0,0,6,700,8516,100,100,0.1134089196,17.5668301547,8.3333333333,15.0401589514,1.0000000000,1.3600000000,147.0588235294
338,99,1,10,99,99,0,0,6,699,8380,99,99,0.1128864073,17.4539437475,9.9000000000,15.1920881238,1.0000000000,1.3512000000,146.5364120782
339,99,1,10,99,99,0,0,6,693,8242,99,99,0.1107485118,17.3431952357,9.9000000000,15.1921008872,1.0000000000,1.3464000000,147.0588235294
340,99,1,12,99,99,0,0,6,693,8238,99,99,0.1103610187,17.2328342169,8.2500000000,15.0304662227,1.0000000000,1.3464000000,147.0588235294
341,99,1,12,99,99,0,0,6,693,8238,99,99,0.1104048060,17.1224294109,8.2500000000,15.0304748700,1.0000000000,1.3464000000,147.0588235294
342,99,1,11,99,99,0,0,6,693,8240,99,99,0.1105069731,17.0119224378,9.0000000000,15.1112754176,1.0000000000,1.3464000000,147.0588235294
343,99,1,11,99,99,0,0,6,693,8240,99,99,0.1104362363,16.9014862016,9.0000000000,15.1112744281,1.0000000000,1.3464000000,147.0588235294
344,99,1,12,99,99,0,0,6,693,8238,99,99,0.1104296259,16.7910565756,8.2500000000,15.0304707456,1.0000000000,1.3464000000,147.0588235294
345,99,1,10,99,99,0,0,6,693,8242,99,99,0.1107216650,16.6803349107,9.9000000000,15.1921045786,1.0000000000,1.3464000000,147.0588235294
