Round,Alive,Dead,CH_Count,Generated,Delivered,Lost,Unclustered,Was_Setup_Round,Control_TX,Control_RX,Data_TX,Data_RX,Energy_Used_J,Residual_Energy_J,Avg_Cluster_Size,Avg_Delay_ms,PDR,Round_Duration_s,Throughput_kbps,Backup_Promotions,Backup_Rejected
120,100,0,6,100,100,0,0,0,0,0,100,100,0.0216269090,47.2522210931,16.6666666667,15.5201807564,1.0000000000,0.8000000000,250.0000000000,0,0
121,100,0,3,100,100,0,0,1,103,491,100,100,0.0289662912,47.2232548019,33.3333333333,15.7602327905,1.0000000000,0.8824000000,226.6545784225,0,0
122,100,0,3,100,100,0,0,0,0,0,100,100,0.0225317475,47.2007230543,33.3333333333,15.7602327905,1.0000000000,0.8000000000,250.0000000000,0,0
123,100,0,3,100,100,0,0,0,0,0,100,100,0.0225317475,47.1781913068,33.3333333333,15.7602327905,1.0000000000,0.8000000000,250.0000000000,0,0
124,100,0,3,100,100,0,0,0,0,0,100,100,0.0225317475,47.1556595592,33.3333333333,15.7602327905,1.0000000000,0.8000000000,250.0000000000,0,0
125,100,0,3,100,100,0,0,0,0,0,100,100,0.0225317475,47.1331278117,33.3333333333,15.7602327905,1.0000000000,0.8000000000,250.0000000000,0,0
126,100,0,3,100,100,0,0,0,0,0,100,100,0.0225317475,47.1105960641,33.3333333333,15.7602327905,1.0000000000,0.8000000000,250.0000000000,0,0
127,100,0,3,100,100,0,0,0,0,0,100,100,0.0225317475,47.0880643166,33.3333333333,15.7602327905,1.0000000000,0.8000000000,250.0000000000,0,0
128,100,0,3,100,100,0,0,0,0,0,100,100,0.0225317475,47.0655325690,33.3333333333,15.7602327905,1.0000000000,0.8000000000,250.0000000000,0,0
129,100,0,3,100,100,0,0,0,0,0,100,100,0.0225317475,47.0430008215,33.3333333333,15.7602327905,1.0000000000,0.8000000000,250.0000000000,0,0
130,100,0,3,100,100,0,0,0,0,0,100,100,0.0225317475,47.0204690739,33.3333333333,15.7602327905,1.0000000000,0.8000000000,250.0000000000,0,0
131,100,0,2,100,100,0,0,1,102,394,100,100,0.0289905313,46.9914785427,50.0000000000,15.8401513848,1.0000000000,0.8816000000,226.8602540835,0,0
132,100,0,2,100,100,0,0,0,0,0,100,100,0.0235349393,46.9679436034,50.0000000000,15.8401513848,1.0000000000,0.8000000000,250.0000000000,0,0
133,100,0,2,100,100,0,0,0,0,0,100,100,0.0235349393,46.9444086641,50.0000000000,15.8401513848,1.0000000000,0.8000000000,250.0000000000,0,0
134,100,0,2,100,100,0,0,0,0,0,100,100,0.0235349393,46.9208737248,50.0000000000,15.8401513848,1.0000000000,0.8000000000,250.0000000000,0,0
135,100,0,2,100,100,0,0,0,0,0,100,100,0.0235349393,46.8973387856,50.0000000000,15.8401513848,1.0000000000,0.8000000000,250.0000000000,0,0
136,100,0,2,100,100,0,0,0,0,0,100,100,0.0235349393,46.8738038463,50.0000000000,15.8401513848,1.0000000000,0.8000000000,250.0000000000,0,0
137,100,0,2,100,100,0,0,0,0,0,100,100,0.0235349393,46.8502689070,50.0000000000,15.8401513848,1.0000000000,0.8000000000,250.0000000000,0,0
138,100,0,2,100,100,0,0,0,0,0,100,100,0.0235349393,46.8267339677,50.0000000000,15.8401513848,1.0000000000,0.8000000000,250.0000000000,0,0
139,100,0,2,100,100,0,0,0,0,0,100,100,0.0235349393,46.8031990284,50.0000000000,15.8401513848,1.0000000000,0.8000000000,250.0000000000,0,0
140,100,0,2,100,100,0,0,0,0,0,100,100,0.0235349393,46.7796640892,50.0000000000,15.8401513848,1.0000000000,0.8000000000,250.0000000000,0,0
141,100,0,4,100,100,0,0,1,104,588,100,100,0.0300638758,46.7496002134,25.0000000000,15.6802024938,1.0000000000,0.8832000000,226.4492753623,0,0
142,100,0,4,100,100,0,0,0,0,0,100,100,0.0225318938,46.7270683196,25.0000000000,15.6802024938,1.0000000000,0.8000000000,250.0000000000,0,0
143,100,0,4,100,100,0,0,0,0,0,100,100,0.0225318938,46.7045364258,25.0000000000,15.6802024938,1.0000000000,0.8000000000,250.0000000000,0,0
144,100,0,4,100,100,0,0,0,0,0,100,100,0.0225318938,46.6820045321,25.0000000000,15.6802024938,1.0000000000,0.8000000000,250.0000000000,0,0
145,100,0,4,100,100,0,0,0,0,0,100,100,0.0225318938,46.6594726383,25.0000000000,15.6802024938,1.0000000000,0.8000000000,250.0000000000,0,0
146,100,0,4,100,100,0,0,0,0,0,100,100,0.0225318938,46.6369407445,25.0000000000,15.6802024938,1.0000000000,0.8000000000,250.0000000000,0,0
147,100,0,4,100,100,0,0,0,0,0,100,100,0.0225318938,46.6144088507,25.0000000000,15.6802024938,1.0000000000,0.8000000000,250.0000000000,0,0
148,100,0,4,100,100,0,0,0,0,0,100,100,0.0225318938,46.5918769570,25.0000000000,15.6802024938,1.0000000000,0.8000000000,250.0000000000,0,0
149,100,0,4,100,100,0,0,0,0,0,100,100,0.0225318938,46.5693450632,25.0000000000,15.6802024938,1.0000000000,0.8000000000,250.0000000000,0,0
150,100,0,4,100,100,0,0,0,0,0,100,100,0.0225318938,46.5468131694,25.0000000000,15.6802024938,1.0000000000,0.8000000000,250.0000000000,0,0
151,100,0,1,100,100,0,0,1,101,297,100,100,0.0325922453,46.5142209242,100.0000000000,15.9203173949,1.0000000000,0.8808000000,227.0663033606,0,0
152,100,0,1,100,100,0,0,0,0,0,100,100,0.0277967221,46.4864242021,100.0000000000,15.9203173949,1.0000000000,0.8000000000,250.0000000000,0,0
153,100,0,1,100,100,0,0,0,0,0,100,100,0.0277967221,46.4586274800,100.0000000000,15.9203173949,1.0000000000,0.8000000000,250.0000000000,0,0
154,100,0,1,100,100,0,0,0,0,0,100,100,0.0277967221,46.4308307579,100.0000000000,15.9203173949,1.0000000000,0.8000000000,250.0000000000,0,0
155,100,0,1,100,100,0,0,0,0,0,100,100,0.0277967221,46.4030340359,100.0000000000,15.9203173949,1.0000000000,0.8000000000,250.0000000000,0,0
156,100,0,1,100,100,0,0,0,0,0,100,100,0.0277967221,46.3752373138,100.0000000000,15.9203173949,1.0000000000,0.8000000000,250.0000000000,0,0
157,100,0,1,100,100,0,0,0,0,0,100,100,0.0277967221,46.3474405917,100.0000000000,15.9203173949,1.0000000000,0.8000000000,250.0000000000,0,0
158,100,0,1,100,100,0,0,0,0,0,100,100,0.0277967221,46.3196438697,100.0000000000,15.9203173949,1.0000000000,0.8000000000,250.0000000000,0,0
159,100,0,1,100,100,0,0,0,0,0,100,100,0.0277967221,46.2918471476,100.0000000000,15.9203173949,1.0000000000,0.8000000000,250.0000000000,0,0
160,100,0,1,100,100,0,0,0,0,0,100,100,0.0277967221,46.2640504255,100.0000000000,15.9203173949,1.0000000000,0.8000000000,250.0000000000,0,0
161,100,0,1,100,100,0,0,1,101,297,100,100,0.0345922635,46.2294581620,100.0000000000,15.9203407015,1.0000000000,0.8808000000,227.0663033606,0,0
162,100,0,1,100,100,0,0,0,0,0,100,100,0.0296081372,46.1998500249,100.0000000000,15.9203407015,1.0000000000,0.8000000000,250.0000000000,0,0
163,100,0,1,100,100,0,0,0,0,0,100,100,0.0296081372,46.1702418877,100.0000000000,15.9203407015,1.0000000000,0.8000000000,250.0000000000,0,0
164,100,0,1,100,100,0,0,0,0,0,100,100,0.0296081372,46.1406337505,100.0000000000,15.9203407015,1.0000000000,0.8000000000,250.0000000000,0,0
165,100,0,1,100,100,0,0,0,0,0,100,100,0.0296081372,46.1110256134,100.0000000000,15.9203407015,1.0000000000,0.8000000000,250.0000000000,0,0
166,100,0,1,100,100,0,0,0,0,0,100,100,0.0296081372,46.0814174762,100.0000000000,15.9203407015,1.0000000000,0.8000000000,250.0000000000,0,0
