Round,Alive,Dead,CH_Count,Generated,Delivered,Lost,Unclustered,HEED_Iterations,Control_TX,Control_RX,Data_TX,Data_RX,Energy_Used_J,Residual_Energy_J,Avg_Cluster_Size,Avg_Delay_ms,PDR,Round_Duration_s,Throughput_kbps
1681,8,92,7,8,8,0,0,6,31,8,8,8,0.0017297399,0.1394102865,1.1428571429,9.0001590468,1.0000000000,0.0888000000,180.1801801802
1682,8,92,7,8,8,0,0,6,27,6,8,8,0.0016647399,0.1377455466,1.1428571429,9.0001590468,1.0000000000,0.0856000000,186.9158878505
1683,8,92,7,8,8,0,0,6,33,6,8,8,0.0017322399,0.1360133068,1.1428571429,9.0001590468,1.0000000000,0.0904000000,176.9911504425
1684,8,92,7,8,8,0,0,6,29,6,8,8,0.0016872399,0.1343260669,1.1428571429,9.0001590468,1.0000000000,0.0872000000,183.4862385321
1685,8,92,7,8,8,0,0,6,26,7,8,8,0.0016634899,0.1326625771,1.1428571429,9.0001590468,1.0000000000,0.0848000000,188.6792452830
1686,8,92,7,8,8,0,0,6,24,7,8,8,0.0016409899,0.1310215872,1.1428571429,9.0001590468,1.0000000000,0.0832000000,192.3076923077
1687,8,92,7,8,8,0,0,6,35,8,8,8,0.0017747399,0.1292468473,1.1428571429,9.0001590468,1.0000000000,0.0920000000,173.9130434783
1688,8,92,7,8,8,0,0,6,30,5,8,8,0.0016884899,0.1275583575,1.1428571429,9.0001590468,1.0000000000,0.0880000000,181.8181818182
1689,8,92,7,8,8,0,0,6,29,6,8,8,0.0016872399,0.1258711176,1.1428571429,9.0001590468,1.0000000000,0.0872000000,183.4862385321
1690,8,92,7,8,8,0,0,6,30,7,8,8,0.0017084899,0.1241626278,1.1428571429,9.0001590468,1.0000000000,0.0880000000,181.8181818182
1691,8,92,7,8,8,0,0,6,33,6,8,8,0.0017322399,0.1224303879,1.1428571429,9.0001590468,1.0000000000,0.0904000000,176.9911504425
1692,8,92,7,8,8,0,0,6,39,6,8,8,0.0017997399,0.1206306481,1.1428571429,9.0001590468,1.0000000000,0.0952000000,168.0672268908
1693,8,92,7,8,8,0,0,6,32,9,8,8,0.0017509899,0.1188796582,1.1428571429,9.0001590468,1.0000000000,0.0896000000,178.5714285714
1694,8,92,7,8,8,0,0,6,30,6,8,8,0.0016984899,0.1171811684,1.1428571429,9.0001590468,1.0000000000,0.0880000000,181.8181818182
1695,8,92,7,8,8,0,0,6,27,7,8,8,0.0016587407,0.1155224276,1.1428571429,9.0001514821,1.0000000000,0.0856000000,186.9158878505
1696,8,92,7,8,8,0,0,6,38,9,8,8,0.0018024907,0.1137199369,1.1428571429,9.0001514821,1.0000000000,0.0944000000,169.4915254237
1697,7,93,7,8,7,1,0,6,31,7,7,7,0.0015863340,0.1121336029,1.1428571429,9.1430125573,0.8750000000,0.0808000000,173.2673267327
1698,7,93,6,7,7,0,0,6,28,6,7,7,0.0014887362,0.1106448667,1.1666666667,9.1430039120,1.0000000000,0.0784000000,178.5714285714
1699,7,93,6,7,7,0,0,6,26,7,7,7,0.0014762362,0.1091686305,1.1666666667,9.1430039120,1.0000000000,0.0768000000,182.2916666667
1700,7,93,6,7,7,0,0,6,30,7,7,7,0.0015372353,0.1076313952,1.1666666667,9.1430125573,1.0000000000,0.0800000000,175.0000000000
1701,7,93,6,7,7,0,0,6,27,6,7,7,0.0014774862,0.1061539090,1.1666666667,9.1430039120,1.0000000000,0.0776000000,180.4123711340
