Round,Alive,Dead,CH_Count,Generated,Delivered,Lost,Unclustered,Was_Setup_Round,Control_TX,Control_RX,Data_TX,Data_RX,Energy_Used_J,Residual_Energy_J,Avg_Cluster_Size,Avg_Delay_ms,PDR,Round_Duration_s,Throughput_kbps,Backup_Promotions,Rejected_Promotions
134,100,0,6,100,100,0,0,0,0,0,100,100,0.0223380765,46.9947919351,16.6666666667,15.5201899589,1.0000000000,0.8000000000,250.0000000000,0,0
135,100,0,6,100,100,0,0,0,0,0,100,100,0.0223380765,46.9724538586,16.6666666667,15.5201899589,1.0000000000,0.8000000000,250.0000000000,0,0
136,100,0,9,100,100,0,0,1,109,1073,100,100,0.0339126801,46.9385411785,11.1111111111,15.2801758504,1.0000000000,0.8872000000,225.4283137962,0,0
137,100,0,9,100,100,0,0,0,0,0,100,100,0.0210752743,46.9174659042,11.1111111111,15.2801758504,1.0000000000,0.8000000000,250.0000000000,0,0
138,100,0,9,100,100,0,0,0,0,0,100,100,0.0210752743,46.8963906299,11.1111111111,15.2801758504,1.0000000000,0.8000000000,250.0000000000,0,0
139,100,0,9,100,100,0,0,0,0,0,100,100,0.0210752743,46.8753153556,11.1111111111,15.2801758504,1.0000000000,0.8000000000,250.0000000000,0,0
140,100,0,9,100,100,0,0,0,0,0,100,100,0.0210752743,46.8542400813,11.1111111111,15.2801758504,1.0000000000,0.8000000000,250.0000000000,0,0
141,100,0,9,100,100,0,0,0,0,0,100,100,0.0210752743,46.8331648070,11.1111111111,15.2801758504,1.0000000000,0.8000000000,250.0000000000,0,0
142,100,0,9,100,100,0,0,0,0,0,100,100,0.0210752743,46.8120895327,11.1111111111,15.2801758504,1.0000000000,0.8000000000,250.0000000000,0,0
143,100,0,9,100,100,0,0,0,0,0,100,100,0.0210752743,46.7910142584,11.1111111111,15.2801758504,1.0000000000,0.8000000000,250.0000000000,0,0
144,100,0,9,100,100,0,0,0,0,0,100,100,0.0210752743,46.7699389842,11.1111111111,15.2801758504,1.0000000000,0.8000000000,250.0000000000,0,0
145,100,0,9,100,100,0,0,0,0,0,100,100,0.0210752743,46.7488637099,11.1111111111,15.2801758504,1.0000000000,0.8000000000,250.0000000000,0,0
146,100,0,9,100,100,0,0,0,0,0,100,100,0.0210752743,46.7277884356,11.1111111111,15.2801758504,1.0000000000,0.8000000000,250.0000000000,0,0
147,100,0,9,100,100,0,0,0,0,0,100,100,0.0210752743,46.7067131613,11.1111111111,15.2801758504,1.0000000000,0.8000000000,250.0000000000,0,0
148,100,0,9,100,100,0,0,0,0,0,100,100,0.0210752743,46.6856378870,11.1111111111,15.2801758504,1.0000000000,0.8000000000,250.0000000000,0,0
149,100,0,9,100,100,0,0,0,0,0,100,100,0.0210752743,46.6645626127,11.1111111111,15.2801758504,1.0000000000,0.8000000000,250.0000000000,0,0
150,100,0,9,100,100,0,0,0,0,0,100,100,0.0210752743,46.6434873384,11.1111111111,15.2801758504,1.0000000000,0.8000000000,250.0000000000,0,0
151,100,0,3,100,100,0,0,1,103,491,100,100,0.0306877341,46.6127996043,33.3333333333,15.7602224199,1.0000000000,0.8824000000,226.6545784225,0,0
152,100,0,3,100,100,0,0,0,0,0,100,100,0.0240807522,46.5887188521,33.3333333333,15.7602224199,1.0000000000,0.8000000000,250.0000000000,0,0
153,100,0,3,100,100,0,0,0,0,0,100,100,0.0240807522,46.5646380998,33.3333333333,15.7602224199,1.0000000000,0.8000000000,250.0000000000,0,0
154,100,0,3,100,100,0,0,0,0,0,100,100,0.0240807522,46.5405573476,33.3333333333,15.7602224199,1.0000000000,0.8000000000,250.0000000000,0,0
155,100,0,3,100,100,0,0,0,0,0,100,100,0.0240807522,46.5164765954,33.3333333333,15.7602224199,1.0000000000,0.8000000000,250.0000000000,0,0
156,100,0,3,100,100,0,0,0,0,0,100,100,0.0240807522,46.4923958432,33.3333333333,15.7602224199,1.0000000000,0.8000000000,250.0000000000,0,0
157,100,0,3,100,100,0,0,0,0,0,100,100,0.0240807522,46.4683150909,33.3333333333,15.7602224199,1.0000000000,0.8000000000,250.0000000000,0,0
158,100,0,3,100,100,0,0,0,0,0,100,100,0.0240807522,46.4442343387,33.3333333333,15.7602224199,1.0000000000,0.8000000000,250.0000000000,0,0
159,100,0,3,100,100,0,0,0,0,0,100,100,0.0240807522,46.4201535865,33.3333333333,15.7602224199,1.0000000000,0.8000000000,250.0000000000,0,0
160,100,0,3,100,100,0,0,0,0,0,100,100,0.0240807522,46.3960728342,33.3333333333,15.7602224199,1.0000000000,0.8000000000,250.0000000000,0,0
161,100,0,3,100,100,0,0,0,0,0,100,100,0.0240807522,46.3719920820,33.3333333333,15.7602224199,1.0000000000,0.8000000000,250.0000000000,0,0
162,100,0,3,100,100,0,0,0,0,0,100,100,0.0240807522,46.3479113298,33.3333333333,15.7602224199,1.0000000000,0.8000000000,250.0000000000,0,0
163,100,0,3,100,100,0,0,0,0,0,100,100,0.0240807522,46.3238305775,33.3333333333,15.7602224199,1.0000000000,0.8000000000,250.0000000000,0,0
164,100,0,3,100,100,0,0,0,0,0,100,100,0.0240807522,46.2997498253,33.3333333333,15.7602224199,1.0000000000,0.8000000000,250.0000000000,0,0
165,100,0,3,100,100,0,0,0,0,0,100,100,0.0240807522,46.2756690731,33.3333333333,15.7602224199,1.0000000000,0.8000000000,250.0000000000,0,0
166,100,0,6,100,100,0,0,1,106,782,100,100,0.0312529009,46.2444161722,16.6666666667,15.5201807564,1.0000000000,0.8848000000,226.0397830018,0,0
167,100,0,6,100,100,0,0,0,0,0,100,100,0.0216269090,46.2227892631,16.6666666667,15.5201807564,1.0000000000,0.8000000000,250.0000000000,0,0
